,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in norfork arkansas,"('jobs in norfork arkansas', 'jobs in northern arkansas')",jobs in norfork arkansas,jobs in northern arkansas,1,0,google,2025-10-30 17:15:42.670204,,
1,jobs in norfork arkansas,"('jobs in norfork arkansas', 'jobs in north arkansas')",jobs in norfork arkansas,jobs in north arkansas,2,0,google,2025-10-30 17:15:42.670204,,
2,jobs in norfork arkansas,"('jobs in norfork arkansas', 'norfork ar jobs')",jobs in norfork arkansas,norfork ar jobs,3,0,google,2025-10-30 17:15:42.670204,,
3,jobs in norfork arkansas,"('jobs in norfork arkansas', 'jobs in northwest arkansas hiring')",jobs in norfork arkansas,jobs in northwest arkansas hiring,4,0,google,2025-10-30 17:15:42.670204,,
4,jobs in norfork arkansas,"('jobs in norfork arkansas', 'jobs in northeast arkansas')",jobs in norfork arkansas,jobs in northeast arkansas,5,0,google,2025-10-30 17:15:42.670204,,
5,jobs in norfork arkansas,"('jobs in northern arkansas', 'jobs in northeast arkansas')",jobs in northern arkansas,jobs in northeast arkansas,1,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
6,jobs in norfork arkansas,"('jobs in northern arkansas', 'what kind of jobs are in arkansas')",jobs in northern arkansas,what kind of jobs are in arkansas,2,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
7,jobs in norfork arkansas,"('jobs in northern arkansas', 'what jobs are in arkansas')",jobs in northern arkansas,what jobs are in arkansas,3,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
8,jobs in norfork arkansas,"('jobs in northern arkansas', 'jobs in north arkansas')",jobs in northern arkansas,jobs in north arkansas,4,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
9,jobs in norfork arkansas,"('jobs in northern arkansas', 'jobs in northwest arkansas area')",jobs in northern arkansas,jobs in northwest arkansas area,5,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
10,jobs in norfork arkansas,"('jobs in northern arkansas', 'jobs in northwest arkansas hiring')",jobs in northern arkansas,jobs in northwest arkansas hiring,6,1,google,2025-10-30 17:15:43.560494,,jobs in norfork arkansas
11,jobs in norfork arkansas,"('jobs in north arkansas', 'northeast arkansas jobs')",jobs in north arkansas,northeast arkansas jobs,1,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
12,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs in north central arkansas')",jobs in north arkansas,jobs in north central arkansas,2,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
13,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs in north little rock arkansas')",jobs in north arkansas,jobs in north little rock arkansas,3,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
14,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs at north arkansas regional medical center')",jobs in north arkansas,jobs at north arkansas regional medical center,4,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
15,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs at north arkansas college')",jobs in north arkansas,jobs at north arkansas college,5,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
16,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs in northwest ar')",jobs in north arkansas,jobs in northwest ar,6,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
17,jobs in norfork arkansas,"('jobs in north arkansas', 'jobs hiring in north little rock arkansas')",jobs in north arkansas,jobs hiring in north little rock arkansas,7,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
18,jobs in norfork arkansas,"('jobs in north arkansas', 'amazon jobs in north little rock arkansas')",jobs in north arkansas,amazon jobs in north little rock arkansas,8,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
19,jobs in norfork arkansas,"('jobs in north arkansas', 'warehouse jobs in north little rock arkansas')",jobs in north arkansas,warehouse jobs in north little rock arkansas,9,1,google,2025-10-30 17:15:44.609014,,jobs in norfork arkansas
20,jobs in norfork arkansas,"('norfork ar jobs', 'norfork ar school district jobs')",norfork ar jobs,norfork ar school district jobs,1,1,google,2025-10-30 17:15:45.438208,,jobs in norfork arkansas
21,jobs in norfork arkansas,"('norfork ar jobs', 'norfork arkansas school employment')",norfork ar jobs,norfork arkansas school employment,2,1,google,2025-10-30 17:15:45.438208,,jobs in norfork arkansas
22,jobs in norfork arkansas,"('norfork ar jobs', 'norfork ar')",norfork ar jobs,norfork ar,3,1,google,2025-10-30 17:15:45.438208,,jobs in norfork arkansas
23,jobs in norfork arkansas,"('norfork ar jobs', 'norfork arkansas fishing')",norfork ar jobs,norfork arkansas fishing,4,1,google,2025-10-30 17:15:45.438208,,jobs in norfork arkansas
24,jobs in norfork arkansas,"('norfork ar jobs', 'norfork school district jobs')",norfork ar jobs,norfork school district jobs,5,1,google,2025-10-30 17:15:45.438208,,jobs in norfork arkansas
25,jobs in norfork arkansas,"('jobs in northwest arkansas hiring', 'jobs in fayetteville ar hiring')",jobs in northwest arkansas hiring,jobs in fayetteville ar hiring,1,1,google,2025-10-30 17:15:46.509421,,jobs in norfork arkansas
26,jobs in norfork arkansas,"('jobs in northwest arkansas hiring', 'jobs hiring in northwest arkansas')",jobs in northwest arkansas hiring,jobs hiring in northwest arkansas,2,1,google,2025-10-30 17:15:46.509421,,jobs in norfork arkansas
