,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in pottsville arkansas,"('jobs in pottsville arkansas', 'jobs in pottsville ar')",jobs in pottsville arkansas,jobs in pottsville ar,1,0,google,2025-11-01 17:53:54.254629,,
1,jobs in pottsville arkansas,"('jobs in pottsville arkansas', 'jobs in pottsville pa')",jobs in pottsville arkansas,jobs in pottsville pa,2,0,google,2025-11-01 17:53:54.254629,,
2,jobs in pottsville arkansas,"('jobs in pottsville arkansas', 'jobs in pottsville pa 17901')",jobs in pottsville arkansas,jobs in pottsville pa 17901,3,0,google,2025-11-01 17:53:54.254629,,
3,jobs in pottsville arkansas,"('jobs in pottsville ar', 'jobs in pottsville area')",jobs in pottsville ar,jobs in pottsville area,1,1,google,2025-11-01 17:53:55.220450,,jobs in pottsville arkansas
4,jobs in pottsville arkansas,"('jobs in pottsville ar', 'jobs pottsville area school district')",jobs in pottsville ar,jobs pottsville area school district,2,1,google,2025-11-01 17:53:55.220450,,jobs in pottsville arkansas
5,jobs in pottsville arkansas,"('jobs in pottsville ar', 'pottsville jobs')",jobs in pottsville ar,pottsville jobs,3,1,google,2025-11-01 17:53:55.220450,,jobs in pottsville arkansas
6,jobs in pottsville arkansas,"('jobs in pottsville ar', 'jobs in pottsville pa')",jobs in pottsville ar,jobs in pottsville pa,4,1,google,2025-11-01 17:53:55.220450,,jobs in pottsville arkansas
7,jobs in pottsville arkansas,"('jobs in pottsville ar', 'jobs in pottsville pa 17901')",jobs in pottsville ar,jobs in pottsville pa 17901,5,1,google,2025-11-01 17:53:55.220450,,jobs in pottsville arkansas
8,jobs in pottsville arkansas,"('jobs in pottsville pa', 'jobs in pottsville pa no degree')",jobs in pottsville pa,jobs in pottsville pa no degree,1,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
9,jobs in pottsville arkansas,"('jobs in pottsville pa', 'jobs in pottsville pa remote')",jobs in pottsville pa,jobs in pottsville pa remote,2,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
10,jobs in pottsville arkansas,"('jobs in pottsville pa', 'jobs in schuylkill county pa')",jobs in pottsville pa,jobs in schuylkill county pa,3,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
11,jobs in pottsville arkansas,"('jobs in pottsville pa', 'hiring in pottsville pa')",jobs in pottsville pa,hiring in pottsville pa,4,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
12,jobs in pottsville arkansas,"('jobs in pottsville pa', 'jobs hiring in pottsville pa')",jobs in pottsville pa,jobs hiring in pottsville pa,5,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
13,jobs in pottsville arkansas,"('jobs in pottsville pa', 'warehouse jobs in pottsville pa')",jobs in pottsville pa,warehouse jobs in pottsville pa,6,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
14,jobs in pottsville arkansas,"('jobs in pottsville pa', 'indeed jobs in pottsville pa')",jobs in pottsville pa,indeed jobs in pottsville pa,7,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
15,jobs in pottsville arkansas,"('jobs in pottsville pa', 'jobs in pottsville pa part time')",jobs in pottsville pa,jobs in pottsville pa part time,8,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
16,jobs in pottsville arkansas,"('jobs in pottsville pa', 'full time jobs in pottsville pa')",jobs in pottsville pa,full time jobs in pottsville pa,9,1,google,2025-11-01 17:53:56.071708,,jobs in pottsville arkansas
17,jobs in pottsville arkansas,"('jobs in pottsville pa 17901', 'jobs in pottsville pa 17901 zip code')",jobs in pottsville pa 17901,jobs in pottsville pa 17901 zip code,1,1,google,2025-11-01 17:53:57.036829,,jobs in pottsville arkansas
18,jobs in pottsville arkansas,"('jobs in pottsville pa 17901', 'jobs in pottsville pa 17901 area')",jobs in pottsville pa 17901,jobs in pottsville pa 17901 area,2,1,google,2025-11-01 17:53:57.036829,,jobs in pottsville arkansas
19,jobs in pottsville arkansas,"('jobs in pottsville pa 17901', 'jobs in pottsville pa 17901 full time')",jobs in pottsville pa 17901,jobs in pottsville pa 17901 full time,3,1,google,2025-11-01 17:53:57.036829,,jobs in pottsville arkansas
20,jobs in pottsville arkansas,"('jobs in pottsville pa 17901', 'jobs in pottsville pa 17901 part time')",jobs in pottsville pa 17901,jobs in pottsville pa 17901 part time,4,1,google,2025-11-01 17:53:57.036829,,jobs in pottsville arkansas
