,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ozark arkansas,"('jobs in ozark arkansas', 'jobs hiring in ozark arkansas')",jobs in ozark arkansas,jobs hiring in ozark arkansas,1,0,google,2025-10-30 17:28:59.080140,,
1,jobs in ozark arkansas,"('jobs in ozark arkansas', 'job corps in ozark arkansas')",jobs in ozark arkansas,job corps in ozark arkansas,2,0,google,2025-10-30 17:28:59.080140,,
2,jobs in ozark arkansas,"('jobs in ozark arkansas', 'job openings in ozark arkansas')",jobs in ozark arkansas,job openings in ozark arkansas,3,0,google,2025-10-30 17:28:59.080140,,
3,jobs in ozark arkansas,"('jobs in ozark arkansas', 'full time jobs in ozark arkansas')",jobs in ozark arkansas,full time jobs in ozark arkansas,4,0,google,2025-10-30 17:28:59.080140,,
4,jobs in ozark arkansas,"('jobs in ozark arkansas', 'part time jobs in ozark arkansas')",jobs in ozark arkansas,part time jobs in ozark arkansas,5,0,google,2025-10-30 17:28:59.080140,,
5,jobs in ozark arkansas,"('jobs in ozark arkansas', 'jobs hiring in ozark ar')",jobs in ozark arkansas,jobs hiring in ozark ar,6,0,google,2025-10-30 17:28:59.080140,,
6,jobs in ozark arkansas,"('jobs in ozark arkansas', 'jobs in ozark ar in the last 3 days')",jobs in ozark arkansas,jobs in ozark ar in the last 3 days,7,0,google,2025-10-30 17:28:59.080140,,
7,jobs in ozark arkansas,"('jobs in ozark arkansas', 'butterball jobs in ozark ar')",jobs in ozark arkansas,butterball jobs in ozark ar,8,0,google,2025-10-30 17:28:59.080140,,
8,jobs in ozark arkansas,"('jobs in ozark arkansas', 'office jobs in ozark ar')",jobs in ozark arkansas,office jobs in ozark ar,9,0,google,2025-10-30 17:28:59.080140,,
9,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'jobs hiring in ozark ar')",jobs hiring in ozark arkansas,jobs hiring in ozark ar,1,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
10,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'job openings in ozark arkansas')",jobs hiring in ozark arkansas,job openings in ozark arkansas,2,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
11,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'jobs near ozark arkansas')",jobs hiring in ozark arkansas,jobs near ozark arkansas,3,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
12,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'jobs near me ozark arkansas')",jobs hiring in ozark arkansas,jobs near me ozark arkansas,4,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
13,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'arkansas tech ozark jobs')",jobs hiring in ozark arkansas,arkansas tech ozark jobs,5,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
14,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'jobs hiring in ozark')",jobs hiring in ozark arkansas,jobs hiring in ozark,6,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
15,jobs in ozark arkansas,"('jobs hiring in ozark arkansas', 'jobs hiring in ozark mo')",jobs hiring in ozark arkansas,jobs hiring in ozark mo,7,1,google,2025-10-30 17:29:00.398210,,jobs in ozark arkansas
16,jobs in ozark arkansas,"('job corps in ozark arkansas', 'cass job corps in ozark arkansas')",job corps in ozark arkansas,cass job corps in ozark arkansas,1,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
17,jobs in ozark arkansas,"('job corps in ozark arkansas', 'cass job corps ozark arkansas closing')",job corps in ozark arkansas,cass job corps ozark arkansas closing,2,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
18,jobs in ozark arkansas,"('job corps in ozark arkansas', 'was ozark filmed in arkansas')",job corps in ozark arkansas,was ozark filmed in arkansas,3,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
19,jobs in ozark arkansas,"('job corps in ozark arkansas', 'arkansas tech ozark jobs')",job corps in ozark arkansas,arkansas tech ozark jobs,4,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
20,jobs in ozark arkansas,"('job corps in ozark arkansas', 'job corps ozark')",job corps in ozark arkansas,job corps ozark,5,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
21,jobs in ozark arkansas,"('job corps in ozark arkansas', 'job corps ozark ar')",job corps in ozark arkansas,job corps ozark ar,6,1,google,2025-10-30 17:29:01.457096,,jobs in ozark arkansas
22,jobs in ozark arkansas,"('job openings in ozark arkansas', 'jobs hiring in ozark arkansas')",job openings in ozark arkansas,jobs hiring in ozark arkansas,1,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
23,jobs in ozark arkansas,"('job openings in ozark arkansas', 'jobs hiring in ozark ar')",job openings in ozark arkansas,jobs hiring in ozark ar,2,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
24,jobs in ozark arkansas,"('job openings in ozark arkansas', 'ozark job openings')",job openings in ozark arkansas,ozark job openings,3,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
25,jobs in ozark arkansas,"('job openings in ozark arkansas', 'arkansas tech ozark jobs')",job openings in ozark arkansas,arkansas tech ozark jobs,4,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
26,jobs in ozark arkansas,"('job openings in ozark arkansas', 'job openings in ozark mo')",job openings in ozark arkansas,job openings in ozark mo,5,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
27,jobs in ozark arkansas,"('job openings in ozark arkansas', 'jobs in ozark arkansas')",job openings in ozark arkansas,jobs in ozark arkansas,6,1,google,2025-10-30 17:29:02.320133,,jobs in ozark arkansas
28,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'part time jobs in ozark arkansas')",full time jobs in ozark arkansas,part time jobs in ozark arkansas,1,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
29,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'part time jobs near ozark ar')",full time jobs in ozark arkansas,part time jobs near ozark ar,2,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
30,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'cost of living in ozark arkansas')",full time jobs in ozark arkansas,cost of living in ozark arkansas,3,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
31,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'arkansas tech ozark jobs')",full time jobs in ozark arkansas,arkansas tech ozark jobs,4,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
32,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'ozark job openings')",full time jobs in ozark arkansas,ozark job openings,5,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
33,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'full time jobs in ozark mo')",full time jobs in ozark arkansas,full time jobs in ozark mo,6,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
34,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'full time jobs in arkansas')",full time jobs in ozark arkansas,full time jobs in arkansas,7,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
35,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'part-time jobs in ozark mo')",full time jobs in ozark arkansas,part-time jobs in ozark mo,8,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
36,jobs in ozark arkansas,"('full time jobs in ozark arkansas', 'ozark arkansas jobs')",full time jobs in ozark arkansas,ozark arkansas jobs,9,1,google,2025-10-30 17:29:03.667157,,jobs in ozark arkansas
37,jobs in ozark arkansas,"('part time jobs in ozark arkansas', 'full time jobs in ozark arkansas')",part time jobs in ozark arkansas,full time jobs in ozark arkansas,1,1,google,2025-10-30 17:29:04.702736,,jobs in ozark arkansas
38,jobs in ozark arkansas,"('part time jobs in ozark arkansas', 'part time jobs near ozark ar')",part time jobs in ozark arkansas,part time jobs near ozark ar,2,1,google,2025-10-30 17:29:04.702736,,jobs in ozark arkansas
39,jobs in ozark arkansas,"('part time jobs in ozark arkansas', 'part time jobs in ozark al')",part time jobs in ozark arkansas,part time jobs in ozark al,3,1,google,2025-10-30 17:29:04.702736,,jobs in ozark arkansas
40,jobs in ozark arkansas,"('part time jobs in ozark arkansas', 'part-time jobs in ozark mo')",part time jobs in ozark arkansas,part-time jobs in ozark mo,4,1,google,2025-10-30 17:29:04.702736,,jobs in ozark arkansas
41,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'jobs hiring in ozark arkansas')",jobs hiring in ozark ar,jobs hiring in ozark arkansas,1,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
42,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'job openings in ozark arkansas')",jobs hiring in ozark ar,job openings in ozark arkansas,2,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
43,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'jobs near ozark ar')",jobs hiring in ozark ar,jobs near ozark ar,3,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
44,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'jobs near me ozark ar')",jobs hiring in ozark ar,jobs near me ozark ar,4,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
45,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'jobs hiring in ozark')",jobs hiring in ozark ar,jobs hiring in ozark,5,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
46,jobs in ozark arkansas,"('jobs hiring in ozark ar', 'jobs hiring in ozark mo')",jobs hiring in ozark ar,jobs hiring in ozark mo,6,1,google,2025-10-30 17:29:05.746042,,jobs in ozark arkansas
47,jobs in ozark arkansas,"('jobs in ozark ar in the last 3 days', 'is ozark ar a good place to live')",jobs in ozark ar in the last 3 days,is ozark ar a good place to live,1,1,google,2025-10-30 17:29:07.163949,,jobs in ozark arkansas
48,jobs in ozark arkansas,"('jobs in ozark ar in the last 3 days', 'jobs in ozark ar')",jobs in ozark ar in the last 3 days,jobs in ozark ar,2,1,google,2025-10-30 17:29:07.163949,,jobs in ozark arkansas
49,jobs in ozark arkansas,"('jobs in ozark ar in the last 3 days', 'jobs in ozark arkansas')",jobs in ozark ar in the last 3 days,jobs in ozark arkansas,3,1,google,2025-10-30 17:29:07.163949,,jobs in ozark arkansas
50,jobs in ozark arkansas,"('jobs in ozark ar in the last 3 days', 'jobs in ozark')",jobs in ozark ar in the last 3 days,jobs in ozark,4,1,google,2025-10-30 17:29:07.163949,,jobs in ozark arkansas
51,jobs in ozark arkansas,"('butterball jobs in ozark ar', 'butterball careers ozark ar')",butterball jobs in ozark ar,butterball careers ozark ar,1,1,google,2025-10-30 17:29:08.113031,,jobs in ozark arkansas
