,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in rector arkansas,"('jobs in rector arkansas', 'jobs in rector ar')",jobs in rector arkansas,jobs in rector ar,1,0,google,2025-10-29 23:54:00.866407,,
1,jobs in rector arkansas,"('jobs in rector ar', 'jobs in rector arkansas')",jobs in rector ar,jobs in rector arkansas,1,1,google,2025-10-29 23:54:01.825880,,jobs in rector arkansas
2,jobs in rector arkansas,"('jobs in rector ar', 'jobs near rector ar')",jobs in rector ar,jobs near rector ar,2,1,google,2025-10-29 23:54:01.825880,,jobs in rector arkansas
3,jobs in rector arkansas,"('jobs in rector ar', 'jobs in torrington')",jobs in rector ar,jobs in torrington,3,1,google,2025-10-29 23:54:01.825880,,jobs in rector arkansas
4,jobs in rector arkansas,"('jobs in rector ar', 'jobs in great torrington')",jobs in rector ar,jobs in great torrington,4,1,google,2025-10-29 23:54:01.825880,,jobs in rector arkansas
5,jobs in rector arkansas,"('jobs in rector ar', 'jobs at rectory school')",jobs in rector ar,jobs at rectory school,5,1,google,2025-10-29 23:54:01.825880,,jobs in rector arkansas
6,jobs in rector arkansas,"('jobs near rector ar', 'jobs hiring near rector ar')",jobs near rector ar,jobs hiring near rector ar,1,2,google,2025-10-29 23:54:03.128993,jobs in rector arkansas,jobs in rector ar
7,jobs in rector arkansas,"('jobs near rector ar', 'jobs in rector arkansas')",jobs near rector ar,jobs in rector arkansas,2,2,google,2025-10-29 23:54:03.128993,jobs in rector arkansas,jobs in rector ar
8,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington wy')",jobs in torrington,jobs in torrington wy,1,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
9,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington ct')",jobs in torrington,jobs in torrington ct,2,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
10,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington ct in the last 3 days')",jobs in torrington,jobs in torrington ct in the last 3 days,3,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
11,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington devon')",jobs in torrington,jobs in torrington devon,4,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
12,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington ct for 16 year olds')",jobs in torrington,jobs in torrington ct for 16 year olds,5,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
13,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington ct no degree')",jobs in torrington,jobs in torrington ct no degree,6,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
14,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington avenue coventry')",jobs in torrington,jobs in torrington avenue coventry,7,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
15,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington ct full time')",jobs in torrington,jobs in torrington ct full time,8,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
16,jobs in rector arkansas,"('jobs in torrington', 'jobs in torrington wy remote')",jobs in torrington,jobs in torrington wy remote,9,2,google,2025-10-29 23:54:04.226870,jobs in rector arkansas,jobs in rector ar
17,jobs in rector arkansas,"('jobs in great torrington', 'jobs in great torrington devon')",jobs in great torrington,jobs in great torrington devon,1,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
18,jobs in rector arkansas,"('jobs in great torrington', 'part time jobs in great torrington devon')",jobs in great torrington,part time jobs in great torrington devon,2,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
19,jobs in rector arkansas,"('jobs in great torrington', 'part time jobs in great torrington')",jobs in great torrington,part time jobs in great torrington,3,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
20,jobs in rector arkansas,"('jobs in great torrington', 'jobs at great torrington school')",jobs in great torrington,jobs at great torrington school,4,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
21,jobs in rector arkansas,"('jobs in great torrington', 'jobs in torrington')",jobs in great torrington,jobs in torrington,5,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
22,jobs in rector arkansas,"('jobs in great torrington', 'jobs in torrington connecticut')",jobs in great torrington,jobs in torrington connecticut,6,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
23,jobs in rector arkansas,"('jobs in great torrington', 'jobs in torrington ct')",jobs in great torrington,jobs in torrington ct,7,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
24,jobs in rector arkansas,"('jobs in great torrington', 'jobs in torrington ct hiring')",jobs in great torrington,jobs in torrington ct hiring,8,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
25,jobs in rector arkansas,"('jobs in great torrington', 'jobs in torrington wy')",jobs in great torrington,jobs in torrington wy,9,2,google,2025-10-29 23:54:05.346960,jobs in rector arkansas,jobs in rector ar
26,jobs in rector arkansas,"('jobs at rectory school', 'rectory school employment')",jobs at rectory school,rectory school employment,1,2,google,2025-10-29 23:54:06.281365,jobs in rector arkansas,jobs in rector ar
27,jobs in rector arkansas,"('jobs at rectory school', 'rector ar school district jobs')",jobs at rectory school,rector ar school district jobs,2,2,google,2025-10-29 23:54:06.281365,jobs in rector arkansas,jobs in rector ar
28,jobs in rector arkansas,"('jobs at rectory school', 'rector school district jobs')",jobs at rectory school,rector school district jobs,3,2,google,2025-10-29 23:54:06.281365,jobs in rector arkansas,jobs in rector ar
29,jobs in rector arkansas,"('jobs hiring near rector ar', 'jobs actually hiring near me')",jobs hiring near rector ar,jobs actually hiring near me,1,3,google,2025-10-29 23:54:07.390746,jobs in rector ar,jobs near rector ar
30,jobs in rector arkansas,"('jobs hiring near rector ar', 'jobs recently hiring near me')",jobs hiring near rector ar,jobs recently hiring near me,2,3,google,2025-10-29 23:54:07.390746,jobs in rector ar,jobs near rector ar
31,jobs in rector arkansas,"('jobs hiring near rector ar', 'jobs near rector ar')",jobs hiring near rector ar,jobs near rector ar,3,3,google,2025-10-29 23:54:07.390746,jobs in rector ar,jobs near rector ar
32,jobs in rector arkansas,"('jobs hiring near rector ar', 'jobs in rector arkansas')",jobs hiring near rector ar,jobs in rector arkansas,4,3,google,2025-10-29 23:54:07.390746,jobs in rector ar,jobs near rector ar
