,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in stamps arkansas,"('jobs in stamps arkansas', 'how much is a book of stamps in arkansas')",jobs in stamps arkansas,how much is a book of stamps in arkansas,1,0,google,2025-10-30 19:05:27.881982,,
1,jobs in stamps arkansas,"('jobs in stamps arkansas', 'how much are stamps in arkansas')",jobs in stamps arkansas,how much are stamps in arkansas,2,0,google,2025-10-30 19:05:27.881982,,
2,jobs in stamps arkansas,"('jobs in stamps arkansas', 'jobs stamps ar')",jobs in stamps arkansas,jobs stamps ar,3,0,google,2025-10-30 19:05:27.881982,,
3,jobs in stamps arkansas,"('jobs in stamps arkansas', 'jobs in arkansas state government')",jobs in stamps arkansas,jobs in arkansas state government,4,0,google,2025-10-30 19:05:27.881982,,
4,jobs in stamps arkansas,"('jobs in stamps arkansas', 'jobs in arkansas state parks')",jobs in stamps arkansas,jobs in arkansas state parks,5,0,google,2025-10-30 19:05:27.881982,,
5,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much is a roll of stamps in arkansas')",how much is a book of stamps in arkansas,how much is a roll of stamps in arkansas,1,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
6,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much does a book of stamps.cost')",how much is a book of stamps in arkansas,how much does a book of stamps.cost,2,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
7,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much is in a book of stamps')",how much is a book of stamps in arkansas,how much is in a book of stamps,3,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
8,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much is a book of stamps today')",how much is a book of stamps in arkansas,how much is a book of stamps today,4,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
9,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much should a book of stamps cost')",how much is a book of stamps in arkansas,how much should a book of stamps cost,5,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
10,jobs in stamps arkansas,"('how much is a book of stamps in arkansas', 'how much is a book of stamps in tn')",how much is a book of stamps in arkansas,how much is a book of stamps in tn,6,1,google,2025-10-30 19:05:28.996007,,jobs in stamps arkansas
