,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in maynard arkansas,"('jobs in maynard arkansas', 'jobs in maynardville tennessee')",jobs in maynard arkansas,jobs in maynardville tennessee,1,0,google,2025-10-31 16:24:44.332484,,
1,jobs in maynard arkansas,"('jobs in maynard arkansas', 'jobs in maynardville tn')",jobs in maynard arkansas,jobs in maynardville tn,2,0,google,2025-10-31 16:24:44.332484,,
2,jobs in maynard arkansas,"('jobs in maynard arkansas', 'jobs in maynardville')",jobs in maynard arkansas,jobs in maynardville,3,0,google,2025-10-31 16:24:44.332484,,
3,jobs in maynard arkansas,"('jobs in maynard arkansas', 'jobs in maynard ar')",jobs in maynard arkansas,jobs in maynard ar,4,0,google,2025-10-31 16:24:44.332484,,
4,jobs in maynard arkansas,"('jobs in maynardville tennessee', 'jobs hiring in maynardville tn')",jobs in maynardville tennessee,jobs hiring in maynardville tn,1,1,google,2025-10-31 16:24:45.142634,,jobs in maynard arkansas
5,jobs in maynard arkansas,"('jobs in maynardville tennessee', 'what jobs are available in tennessee')",jobs in maynardville tennessee,what jobs are available in tennessee,2,1,google,2025-10-31 16:24:45.142634,,jobs in maynard arkansas
6,jobs in maynard arkansas,"('jobs in maynardville tennessee', 'jobs in maynardville tn')",jobs in maynardville tennessee,jobs in maynardville tn,3,1,google,2025-10-31 16:24:45.142634,,jobs in maynard arkansas
7,jobs in maynard arkansas,"('jobs in maynardville tennessee', 'what jobs are in high demand in tennessee')",jobs in maynardville tennessee,what jobs are in high demand in tennessee,4,1,google,2025-10-31 16:24:45.142634,,jobs in maynard arkansas
8,jobs in maynard arkansas,"('jobs in maynardville tennessee', 'jobs in maynardville')",jobs in maynardville tennessee,jobs in maynardville,5,1,google,2025-10-31 16:24:45.142634,,jobs in maynard arkansas
9,jobs in maynard arkansas,"('jobs in maynardville tn', 'jobs hiring in maynardville tn')",jobs in maynardville tn,jobs hiring in maynardville tn,1,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
10,jobs in maynard arkansas,"('jobs in maynardville tn', 'part time jobs in maynardville tn')",jobs in maynardville tn,part time jobs in maynardville tn,2,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
11,jobs in maynard arkansas,"('jobs in maynardville tn', 'full time jobs in maynardville tn')",jobs in maynardville tn,full time jobs in maynardville tn,3,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
12,jobs in maynard arkansas,"('jobs in maynardville tn', 'what jobs are available in tennessee')",jobs in maynardville tn,what jobs are available in tennessee,4,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
13,jobs in maynard arkansas,"('jobs in maynardville tn', 'plant jobs in tennessee')",jobs in maynardville tn,plant jobs in tennessee,5,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
14,jobs in maynard arkansas,"('jobs in maynardville tn', 'jobs in maynardville tennessee')",jobs in maynardville tn,jobs in maynardville tennessee,6,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
15,jobs in maynard arkansas,"('jobs in maynardville tn', 'jobs in maynardville')",jobs in maynardville tn,jobs in maynardville,7,1,google,2025-10-31 16:24:46.270901,,jobs in maynard arkansas
16,jobs in maynard arkansas,"('jobs in maynardville', 'jobs in maynardville tn')",jobs in maynardville,jobs in maynardville tn,1,1,google,2025-10-31 16:24:47.054974,,jobs in maynard arkansas
17,jobs in maynard arkansas,"('jobs in maynardville', 'jobs hiring in maynardville tn')",jobs in maynardville,jobs hiring in maynardville tn,2,1,google,2025-10-31 16:24:47.054974,,jobs in maynard arkansas
18,jobs in maynard arkansas,"('jobs in maynardville', 'jobs hiring in maynardville')",jobs in maynardville,jobs hiring in maynardville,3,1,google,2025-10-31 16:24:47.054974,,jobs in maynard arkansas
19,jobs in maynard arkansas,"('jobs in maynardville', 'part time jobs in maynardville tn')",jobs in maynardville,part time jobs in maynardville tn,4,1,google,2025-10-31 16:24:47.054974,,jobs in maynard arkansas
20,jobs in maynard arkansas,"('jobs in maynardville', 'full time jobs in maynardville tn')",jobs in maynardville,full time jobs in maynardville tn,5,1,google,2025-10-31 16:24:47.054974,,jobs in maynard arkansas
