,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas area')",jobs in wrightsville arkansas,jobs in wrightsville arkansas area,1,0,google,2025-10-30 01:50:04.354473,,
1,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas hiring')",jobs in wrightsville arkansas,jobs in wrightsville arkansas hiring,2,0,google,2025-10-30 01:50:04.354473,,
2,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas part time')",jobs in wrightsville arkansas,jobs in wrightsville arkansas part time,3,0,google,2025-10-30 01:50:04.354473,,
3,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas for 16 year olds')",jobs in wrightsville arkansas,jobs in wrightsville arkansas for 16 year olds,4,0,google,2025-10-30 01:50:04.354473,,
4,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas for teens')",jobs in wrightsville arkansas,jobs in wrightsville arkansas for teens,5,0,google,2025-10-30 01:50:04.354473,,
5,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas department of corrections')",jobs in wrightsville arkansas,jobs in wrightsville arkansas department of corrections,6,0,google,2025-10-30 01:50:04.354473,,
6,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas to little rock ar')",jobs in wrightsville arkansas,jobs in wrightsville arkansas to little rock ar,7,0,google,2025-10-30 01:50:04.354473,,
7,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas correctional facility')",jobs in wrightsville arkansas,jobs in wrightsville arkansas correctional facility,8,0,google,2025-10-30 01:50:04.354473,,
8,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas', 'jobs in wrightsville arkansas fire')",jobs in wrightsville arkansas,jobs in wrightsville arkansas fire,9,0,google,2025-10-30 01:50:04.354473,,
9,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas area', 'jobs in wrightsville arkansas area hiring')",jobs in wrightsville arkansas area,jobs in wrightsville arkansas area hiring,1,1,google,2025-10-30 01:50:05.781093,,jobs in wrightsville arkansas
10,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas area', 'jobs in wrightsville arkansas area area')",jobs in wrightsville arkansas area,jobs in wrightsville arkansas area area,2,1,google,2025-10-30 01:50:05.781093,,jobs in wrightsville arkansas
11,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas area', 'jobs in wrightsville arkansas area hiring now')",jobs in wrightsville arkansas area,jobs in wrightsville arkansas area hiring now,3,1,google,2025-10-30 01:50:05.781093,,jobs in wrightsville arkansas
12,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas area', 'jobs in wrightsville arkansas areas')",jobs in wrightsville arkansas area,jobs in wrightsville arkansas areas,4,1,google,2025-10-30 01:50:05.781093,,jobs in wrightsville arkansas
13,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas area', 'jobs in wrightsville arkansas area for 16 year olds')",jobs in wrightsville arkansas area,jobs in wrightsville arkansas area for 16 year olds,5,1,google,2025-10-30 01:50:05.781093,,jobs in wrightsville arkansas
14,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas hiring', 'jobs in wrightsville arkansas hiring now')",jobs in wrightsville arkansas hiring,jobs in wrightsville arkansas hiring now,1,1,google,2025-10-30 01:50:06.844512,,jobs in wrightsville arkansas
15,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas hiring', 'jobs in wrightsville arkansas hiring immediately')",jobs in wrightsville arkansas hiring,jobs in wrightsville arkansas hiring immediately,2,1,google,2025-10-30 01:50:06.844512,,jobs in wrightsville arkansas
16,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas hiring', 'jobs in wrightsville arkansas hiring right now')",jobs in wrightsville arkansas hiring,jobs in wrightsville arkansas hiring right now,3,1,google,2025-10-30 01:50:06.844512,,jobs in wrightsville arkansas
17,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas hiring', 'jobs in wrightsville arkansas hiring 16 year olds')",jobs in wrightsville arkansas hiring,jobs in wrightsville arkansas hiring 16 year olds,4,1,google,2025-10-30 01:50:06.844512,,jobs in wrightsville arkansas
18,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas hiring', 'jobs in wrightsville arkansas hiring 15 year olds')",jobs in wrightsville arkansas hiring,jobs in wrightsville arkansas hiring 15 year olds,5,1,google,2025-10-30 01:50:06.844512,,jobs in wrightsville arkansas
19,jobs in wrightsville arkansas,"('jobs in wrightsville arkansas part time', 'jobs in wrightsville arkansas part time jobs')",jobs in wrightsville arkansas part time,jobs in wrightsville arkansas part time jobs,1,1,google,2025-10-30 01:50:07.821969,,jobs in wrightsville arkansas
