,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in smackover arkansas,"('jobs in smackover arkansas', 'what jobs are in arkansas')",jobs in smackover arkansas,what jobs are in arkansas,1,0,google,2025-10-31 18:45:26.397490,,
1,jobs in smackover arkansas,"('jobs in smackover arkansas', 'jobs in smackover ar')",jobs in smackover arkansas,jobs in smackover ar,2,0,google,2025-10-31 18:45:26.397490,,
2,jobs in smackover arkansas,"('jobs in smackover arkansas', 'smackover school district jobs')",jobs in smackover arkansas,smackover school district jobs,3,0,google,2025-10-31 18:45:26.397490,,
3,jobs in smackover arkansas,"('jobs in smackover arkansas', 'smackover school district job openings')",jobs in smackover arkansas,smackover school district job openings,4,0,google,2025-10-31 18:45:26.397490,,
4,jobs in smackover arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
5,jobs in smackover arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 15')",what jobs are in arkansas,what jobs in arkansas hire at 15,2,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
6,jobs in smackover arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 14')",what jobs are in arkansas,what jobs in arkansas hire at 14,3,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
7,jobs in smackover arkansas,"('what jobs are in arkansas', 'what jobs are in hot springs arkansas')",what jobs are in arkansas,what jobs are in hot springs arkansas,4,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
8,jobs in smackover arkansas,"('what jobs are in arkansas', 'what jobs hire felons in arkansas')",what jobs are in arkansas,what jobs hire felons in arkansas,5,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
9,jobs in smackover arkansas,"('what jobs are in arkansas', 'what are the best jobs in arkansas')",what jobs are in arkansas,what are the best jobs in arkansas,6,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
10,jobs in smackover arkansas,"('what jobs are in arkansas', 'what are high paying jobs in arkansas')",what jobs are in arkansas,what are high paying jobs in arkansas,7,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
11,jobs in smackover arkansas,"('what jobs are in arkansas', 'what are the highest paying jobs in arkansas')",what jobs are in arkansas,what are the highest paying jobs in arkansas,8,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
12,jobs in smackover arkansas,"('what jobs are in arkansas', 'what are the best paying jobs in arkansas')",what jobs are in arkansas,what are the best paying jobs in arkansas,9,1,google,2025-10-31 18:45:27.854616,,jobs in smackover arkansas
13,jobs in smackover arkansas,"('jobs in smackover ar', 'smackover school district jobs')",jobs in smackover ar,smackover school district jobs,1,1,google,2025-10-31 18:45:28.960486,,jobs in smackover arkansas
14,jobs in smackover arkansas,"('jobs in smackover ar', 'smackover ar')",jobs in smackover ar,smackover ar,2,1,google,2025-10-31 18:45:28.960486,,jobs in smackover arkansas
15,jobs in smackover arkansas,"('smackover school district jobs', 'smackover school district job openings')",smackover school district jobs,smackover school district job openings,1,1,google,2025-10-31 18:45:29.754897,,jobs in smackover arkansas
16,jobs in smackover arkansas,"('smackover school district jobs', 'smackover ar school district jobs')",smackover school district jobs,smackover ar school district jobs,2,1,google,2025-10-31 18:45:29.754897,,jobs in smackover arkansas
17,jobs in smackover arkansas,"('smackover school district jobs', 'smackover norphlet school district job openings')",smackover school district jobs,smackover norphlet school district job openings,3,1,google,2025-10-31 18:45:29.754897,,jobs in smackover arkansas
18,jobs in smackover arkansas,"('smackover school district jobs', 'smackover school district salary schedule')",smackover school district jobs,smackover school district salary schedule,4,1,google,2025-10-31 18:45:29.754897,,jobs in smackover arkansas
19,jobs in smackover arkansas,"('smackover school district job openings', 'smackover norphlet school district job openings')",smackover school district job openings,smackover norphlet school district job openings,1,1,google,2025-10-31 18:45:30.847235,,jobs in smackover arkansas
20,jobs in smackover arkansas,"('smackover school district job openings', 'smackover school district jobs')",smackover school district job openings,smackover school district jobs,2,1,google,2025-10-31 18:45:30.847235,,jobs in smackover arkansas
21,jobs in smackover arkansas,"('smackover school district job openings', 'smackover school district salary schedule')",smackover school district job openings,smackover school district salary schedule,3,1,google,2025-10-31 18:45:30.847235,,jobs in smackover arkansas
22,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire felons in arkansas')",what jobs are hiring in arkansas,what jobs hire felons in arkansas,1,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
23,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas,2,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
24,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 15 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 15 in arkansas,3,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
25,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 13 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 13 in arkansas,4,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
26,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas part time')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas part time,5,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
27,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 15 in arkansas part time')",what jobs are hiring in arkansas,what jobs hire at 15 in arkansas part time,6,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
28,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 16 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 16 in arkansas,7,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
29,jobs in smackover arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas no experience')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas no experience,8,2,google,2025-10-31 18:45:31.725450,jobs in smackover arkansas,what jobs are in arkansas
